,Date,Value,Anomaly,state
576,196412,5.24,0.17,Unnamed: 0
577,196512,3.17,-1.90,Unnamed: 0
578,196612,4.75,-0.32,Unnamed: 0
579,196712,8.31,3.24,Unnamed: 0
580,196812,6.80,1.73,Unnamed: 0
581,196912,6.44,1.37,Unnamed: 0
582,197012,4.72,-0.35,Unnamed: 0
583,197112,7.72,2.65,Unnamed: 0
584,197212,8.23,3.16,Unnamed: 0
585,197312,6.70,1.63,Unnamed: 0
586,197412,5.90,0.83,Unnamed: 0
587,197512,4.73,-0.34,Unnamed: 0
588,197612,4.66,-0.41,Unnamed: 0
589,197712,3.22,-1.85,Unnamed: 0
590,197812,5.30,0.23,Unnamed: 0
591,197912,2.56,-2.51,Unnamed: 0
592,198012,1.15,-3.92,Unnamed: 0
593,198112,6.28,1.21,Unnamed: 0
594,198212,8.29,3.22,Unnamed: 0
595,198312,9.22,4.15,Unnamed: 0
596,198412,2.77,-2.30,Unnamed: 0
597,198512,3.56,-1.51,Unnamed: 0
598,198612,3.73,-1.34,Unnamed: 0
599,198712,3.98,-1.09,Unnamed: 0
600,198812,2.97,-2.10,Unnamed: 0
601,198912,5.89,0.82,Unnamed: 0
602,199012,6.46,1.39,Unnamed: 0
603,199112,5.34,0.27,Unnamed: 0
604,199212,5.73,0.66,Unnamed: 0
605,199312,4.29,-0.78,Unnamed: 0
606,199412,3.67,-1.40,Unnamed: 0
607,199512,5.07,0.00,Unnamed: 0
608,199612,4.94,-0.13,Unnamed: 0
609,199712,4.82,-0.25,Unnamed: 0
610,199812,4.27,-0.80,Unnamed: 0
611,199912,3.32,-1.75,Unnamed: 0
612,200012,4.29,-0.78,Unnamed: 0
613,200112,4.14,-0.93,Unnamed: 0
614,200212,6.54,1.47,Unnamed: 0
615,200312,3.47,-1.60,Unnamed: 0
616,200412,4.84,-0.23,Unnamed: 0
